Record Type,Symbol,Plan Type,Quantity,Date Acquired,Date Acquired (Wash Sale Toggle = On),Acquisition Cost,Acquisition Cost Per Share,Ordinary Income Recognized,Ordinary Income Recognized Per Share,Adjusted Cost Basis,Adjusted Cost Basis Per Share,Date Sold,Total Proceeds,Proceeds Per Share,Deferred Loss,Gain/Loss,Gain/Loss (Wash Sale Toggle = On),Adjusted Gain/Loss,Adjusted Gain (Loss) Per Share,Capital Gains Status,Wash Sale Adjusted Capital Gains Status,Total Wash Sale Adjustment Amount,Wash Sale Adjustment Amount Per Share,Total Wash Sale Adjusted Cost Basis,Wash Sale Adjusted Cost Basis Per Share,Total Wash Sale Adjusted Gain/Loss,Wash Sale Adjusted Gain/Loss Per Share,Order Type,Covered Status,Qualified Plan?,Disposition Type,Type,Grant Date,Grant Date FMV,Discount Amount,Purchase Date,Purchase Date Fair Mkt. Value,Purchase Price,Grant Number,83(b) Election,Vest Date,Vest Date FMV,Exercise Date,Exercise Date FMV,Grant Price,Order Number
Sell,AVGO,OSPS,47.27,05/01/2023,05/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$8,709.42",$184.25,$0.00,"$8,709.42","$8,709.42","$8,709.42",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$8,709.42",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00212387_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,42.01,05/01/2023,05/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,740.27",$184.25,$0.00,"$7,740.27","$7,740.27","$7,740.27",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,740.27",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,05/01/2023,05/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,27.57,06/01/2023,06/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$5,079.73",$184.25,$0.00,"$5,079.73","$5,079.73","$5,079.73",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$5,079.73",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00196328_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,11.81,06/01/2023,06/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,175.97",$184.25,$0.00,"$2,175.97","$2,175.97","$2,175.97",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,175.97",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,49.89,08/01/2023,08/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$9,192.15",$184.25,$0.00,"$9,192.15","$9,192.15","$9,192.15",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$9,192.15",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00212387_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,08/01/2023,08/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,26.26,09/01/2023,09/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$4,838.36",$184.25,$0.00,"$4,838.36","$4,838.36","$4,838.36",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$4,838.36",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00196328_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,24.1,05/01/2019,05/01/2019,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$4,440.39",$184.25,$0.00,"$4,440.39","$4,440.39","$4,440.39",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$4,440.39",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM084456_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,38.07,07/01/2019,07/01/2019,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,014.33",$184.25,$0.00,"$7,014.33","$7,014.33","$7,014.33",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,014.33",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM095332_CA,--,--,0at1900,--,0,0,86965787
