row id,type,share,acquire date,merge or sold date,long term,Box 1d Proceeds,Filing Cost Basis,total capital gain,total pending ordinary income,avgo share,total avgo cost basis,per share avgo cost base,per share purchase price,per share cost basis,per share merge gain,per share capital gain,espp offer date,espp offer data fmv,acquire date,acquire date fmv,qualifying disposition,per share ordinary income
28,RS,21.000,11/01/2019,11/22/2023,True,"$1,433.43 ","$375.50 ","$1,057.93 ",,2.757,"$2,700.48 ","$979.50 ","$163.06 ","$146.48 ","$50.38 ","$50.38 ",,,11/01/2019,"$163.06 ",,
29,ESPP,62.000,08/31/2021,11/22/2023,True,"$4,232.02 ","$0.00 ","$4,232.02 ","$1,305.81 ",8.140,"$7,677.45 ","$943.18 ","$119.35 ","$102.77 ","$94.09 ","$68.26 ",03/01/2021,"$140.41 ",08/31/2021,"$148.87 ",True,"$21.06 "
30,RS,26.000,07/01/2020,11/22/2023,True,"$1,774.72 ","$205.95 ","$1,568.77 ",,3.414,"$3,344.01 ","$979.50 ","$153.10 ","$136.52 ","$60.34 ","$60.34 ",,,07/01/2020,"$153.10 ",,
31,RS,12.000,02/01/2020,11/22/2023,True,"$819.10 ","$34.57 ","$784.53 ",,1.575,"$1,542.71 ","$979.50 ","$148.06 ","$131.48 ","$65.38 ","$65.38 ",,,02/01/2020,"$148.06 ",,
32,ESPP,59.000,02/28/2021,11/22/2023,True,"$4,027.24 ","$0.00 ","$4,027.24 ","$1,066.60 ",7.746,"$6,132.35 ","$791.68 ","$102.44 ","$85.86 ","$111.00 ","$68.26 ",03/01/2020,"$120.52 ",02/28/2021,"$138.21 ",True,"$18.08 "
33,RS,6.000,08/01/2023,11/22/2023,False,"$409.55 ","$182.17 ","$227.38 ",,0.788,"$771.85 ","$979.50 ","$158.96 ","$158.96 ","$37.90 ","$37.90 ",,,08/01/2023,"$158.96 ",,
34,RS,7.000,08/01/2022,11/22/2023,True,"$477.81 ","$0.00 ","$477.81 ",,0.919,"$813.16 ","$884.83 ","$116.17 ","$116.17 ","$80.69 ","$68.26 ",,,08/01/2022,"$116.17 ",,
35,ESPP,58.000,08/31/2019,11/22/2023,True,"$3,958.98 ","$0.00 ","$3,958.98 ","$1,550.34 ",7.615,"$7,561.84 ","$993.02 ","$120.22 ","$103.64 ","$93.21 ","$68.26 ",03/01/2019,"$178.20 ",08/31/2019,"$141.44 ",True,"$26.73 "
36,RS,36.000,05/01/2023,11/22/2023,False,"$2,457.30 ","$0.00 ","$2,457.30 ",,4.726,"$4,570.84 ","$967.17 ","$126.98 ","$126.98 ","$69.88 ","$68.26 ",,,05/01/2023,"$126.98 ",,
37,RS,20.000,05/01/2020,11/22/2023,True,"$1,365.16 ","$0.00 ","$1,365.17 ",,2.626,"$2,175.36 ","$828.39 ","$125.34 ","$108.76 ","$88.10 ","$68.26 ",,,05/01/2020,"$125.34 ",,
38,RS,38.000,08/01/2023,11/22/2023,False,"$2,593.81 ","$1,153.72 ","$1,440.10 ",,4.989,"$4,886.73 ","$979.50 ","$158.96 ","$158.96 ","$37.90 ","$37.90 ",,,08/01/2023,"$158.96 ",,
39,RS,6.000,06/01/2021,11/22/2023,True,"$409.55 ","$96.49 ","$313.06 ",,0.788,"$771.85 ","$979.50 ","$161.26 ","$144.68 ","$52.18 ","$52.18 ",,,06/01/2021,"$161.26 ",,
40,RS,6.000,11/01/2022,11/22/2023,True,"$409.55 ","$0.00 ","$409.55 ",,0.788,"$675.94 ","$857.79 ","$112.62 ","$112.62 ","$84.24 ","$68.26 ",,,11/01/2022,"$112.62 ",,
41,RS,35.000,11/01/2022,11/22/2023,True,"$2,389.04 ","$0.00 ","$2,389.04 ",,4.595,"$3,941.56 ","$857.79 ","$112.62 ","$112.62 ","$84.24 ","$68.26 ",,,11/01/2022,"$112.62 ",,
42,RS,21.000,06/01/2023,11/22/2023,False,"$1,433.43 ","$112.16 ","$1,321.27 ",,2.757,"$2,700.48 ","$979.50 ","$133.94 ","$133.94 ","$62.92 ","$62.92 ",,,06/01/2023,"$133.94 ",,
